id,is_russia,purch_id,created_at,state,amount
18,yes,86017,2020-02-12,successful,154.2615856
18,yes,76536,2020-02-04,successful,618.9064169
18,yes,200782,2020-04-10,successful,350.8296319
1385,yes,,,,
2670,yes,,,,
3460,yes,,,,
6113,yes,,,,
6278,yes,62959,2020-03-09,successful,788.3692934
6278,yes,67230,2020-03-23,successful,1423.300284
6278,yes,64931,2020-03-17,successful,538.9229929
7183,yes,,,,
7780,yes,,,,
10515,yes,56363,2020-03-07,successful,944.4252787
10515,yes,56371,2020-03-04,successful,1102.825995
10515,yes,56375,2020-03-05,successful,212.0655519
10958,yes,,,,
12743,yes,,,,
13792,yes,,,,
14520,yes,263446,2020-05-01,successful,257.2357589
14520,yes,190211,2020-04-17,canceled,550.2879453
14556,yes,,,,
15054,yes,,,,
15796,yes,,,,
15958,yes,,,,
16252,yes,,,,
17894,yes,54634,2020-03-18,successful,445.701843
19732,yes,85757,2020-02-25,successful,581.9483352
20224,yes,,,,
20256,yes,,,,
21407,yes,325494,2020-05-01,successful,437.670882
22145,yes,291716,2020-05-16,successful,513.1872467
23208,yes,,,,
23450,yes,,,,
24640,no,301532,2020-06-28,canceled,418.9731621
24640,no,288362,2020-05-04,successful,241.3004582
25294,yes,,,,
25796,yes,,,,
28749,yes,253967,2020-06-24,successful,171.4623415
28749,yes,257621,2020-06-21,successful,399.7894343
29127,yes,,,,
29145,yes,,,,
29189,yes,,,,
29545,yes,182333,2020-04-06,successful,303.5619156
29545,yes,207863,2020-04-26,successful,714.1044392
29571,yes,,,,
29588,yes,56112,2020-03-08,successful,880.5008484
29588,yes,248421,2020-06-16,successful,610.0871154
30120,no,299721,2020-06-13,successful,377.4271955
30177,no,,,,
30938,yes,,,,
31305,yes,,,,
31640,yes,,,,
31709,no,271065,2020-05-13,successful,376.27483
31709,no,212057,2020-04-08,successful,498.114386
31709,no,215187,2020-04-01,successful,380.7309049
31709,no,319264,2020-05-02,successful,735.8812415
31747,yes,,,,
31759,yes,,,,
31799,yes,241864,2020-06-22,successful,97.12713535
32137,yes,,,,
32460,yes,,,,
32646,yes,,,,
32732,yes,,,,
32791,no,339552,2020-05-02,successful,425.1758887
32791,no,339567,2020-05-11,successful,493.7704709
32791,no,212144,2020-04-17,successful,314.3194306
32791,no,339563,2020-05-11,successful,391.8273617
32870,yes,,,,
33149,yes,,,,
33568,yes,,,,
33686,yes,,,,
33880,no,,,,
33916,no,,,,
33935,yes,,,,
33989,yes,,,,
34156,yes,,,,
34177,yes,,,,
34191,yes,,,,
34675,yes,,,,
34814,yes,,,,
34882,no,,,,
35337,yes,77786,2020-02-17,successful,388.1408513
35629,yes,77798,2020-02-13,successful,578.326577
35629,yes,204029,2020-04-28,successful,321.708849
35629,yes,204049,2020-04-05,successful,561.3412732
35694,yes,,,,
35819,no,,,,
35860,yes,79349,2020-02-16,successful,303.470397
35860,yes,56571,2020-03-29,successful,574.3559694
35948,yes,,,,
36242,no,,,,
36499,yes,,,,
36710,yes,,,,
37194,yes,,,,
37312,yes,,,,
37737,yes,,,,
38052,yes,,,,
38217,yes,,,,
38248,yes,,,,
38292,yes,,,,
38303,yes,,,,
38322,yes,,,,
38392,yes,,,,
38431,no,307374,2020-06-06,successful,386.5069685
38431,no,63594,2020-03-23,canceled,280.8636022
38434,yes,,,,
38437,yes,,,,
38471,yes,,,,
38503,yes,,,,
38570,yes,,,,
38590,yes,,,,
38634,yes,,,,
38640,yes,,,,
38693,yes,,,,
38706,yes,,,,
38768,yes,,,,
38788,yes,,,,
38818,yes,,,,
38826,yes,,,,
38866,yes,,,,
38897,yes,,,,
38938,yes,,,,
38986,yes,,,,
39018,yes,,,,
39034,yes,,,,
39059,yes,323053,2020-05-16,successful,389.1652769
39059,yes,53936,2020-03-01,successful,423.5173971
39067,yes,,,,
39074,yes,,,,
39124,yes,,,,
39253,yes,,,,
39255,yes,,,,
39332,yes,,,,
39515,yes,,,,
39552,yes,,,,
39648,yes,,,,
39877,yes,,,,
39921,yes,,,,
40115,yes,,,,
40148,yes,,,,
40187,yes,,,,
40285,yes,,,,
40424,yes,,,,
40601,yes,,,,
40863,yes,,,,
41700,yes,,,,
41822,yes,,,,
41879,no,,,,
41963,yes,,,,
42082,yes,,,,
42421,no,,,,
43018,yes,,,,
43184,yes,,,,
43265,yes,57090,2020-03-22,successful,603.2270274
43265,yes,57086,2020-03-19,canceled,1004.732531
43265,yes,276948,2020-05-21,successful,217.8859156
43265,yes,45371,2020-01-23,successful,709.9926078
43325,yes,284015,2020-05-16,successful,1234.899923
43325,yes,325735,2020-05-30,successful,362.7594792
43325,yes,55447,2020-03-19,successful,462.2440989
43325,yes,55439,2020-03-14,successful,449.0683501
43972,yes,,,,
44209,yes,,,,
44336,yes,,,,
44517,no,,,,
44621,yes,,,,
44865,yes,25432,2019-11-23,successful,279.6158701
44865,yes,34711,2019-12-26,successful,753.9393981
44865,yes,65886,2020-03-19,successful,274.3347079
44865,yes,191566,2020-04-25,successful,190.9609536
45182,yes,,,,
45324,yes,43564,2019-12-06,successful,494.4401357
45324,yes,57297,2020-03-13,successful,1293.09471
45324,yes,210266,2020-04-16,successful,770.5196804
45324,yes,66161,2020-03-08,successful,947.8396792
45324,yes,258715,2020-05-20,successful,91.40861624
45324,yes,38550,2019-12-04,successful,394.5917061
45632,yes,,,,
45865,yes,,,,
46156,yes,,,,
46366,yes,,,,
46634,no,241608,2020-06-08,successful,270.065221
46634,no,221167,2020-06-23,successful,1011.505867
46634,no,250239,2020-06-08,successful,405.4570946
46634,no,210850,2020-04-06,successful,436.1297556
46634,no,211055,2020-04-29,successful,704.3943351
46634,no,195367,2020-04-15,successful,569.4749722
46634,no,195369,2020-04-12,successful,363.2249023
46634,no,210499,2020-04-05,successful,563.0156919
46634,no,195604,2020-04-14,successful,271.6406631
46634,no,211019,2020-04-03,successful,253.837166
46634,no,195679,2020-04-13,canceled,549.6281843
46634,no,316886,2020-06-03,successful,445.5463572
46634,no,335797,2020-05-01,successful,579.3802473
46634,no,262947,2020-05-28,successful,791.865778
46634,no,276946,2020-05-30,successful,1191.248865
47360,yes,,,,
47939,yes,,,,
47995,yes,,,,
48235,yes,,,,
49048,yes,,,,
49718,yes,,,,
49720,no,,,,
49803,no,,,,
51191,yes,29373,2019-11-03,successful,279.2173255
51493,yes,,,,
51534,yes,,,,
51638,yes,,,,
51687,yes,,,,
51710,yes,,,,
51781,yes,,,,
51881,yes,,,,
51963,yes,338894,2020-05-05,canceled,433.5168074
51963,yes,222670,2020-06-12,successful,543.9793735
52052,yes,,,,
52254,yes,73480,2020-02-03,successful,474.9106518
52254,yes,72137,2020-03-28,successful,405.4520886
52399,yes,,,,
52537,yes,,,,
52584,yes,,,,
52663,yes,46494,2020-01-31,successful,349.0472541
52663,yes,64341,2020-03-05,successful,923.9619056
52663,yes,64342,2020-03-04,successful,343.051281
52663,yes,58768,2020-03-16,successful,350.3125604
52669,yes,,,,
52763,yes,,,,
52965,yes,208922,2020-04-09,successful,249.7962205
52965,yes,208916,2020-04-30,successful,411.3783654
52965,yes,286070,2020-05-10,successful,464.7457376
52965,yes,209217,2020-04-14,successful,735.0346179
53161,yes,259979,2020-05-24,successful,518.6940124
53161,yes,59915,2020-03-11,successful,653.1712437
53161,yes,59917,2020-03-11,successful,1974.220737
53161,yes,78134,2020-02-11,successful,605.4132315
53161,yes,57346,2020-03-23,successful,96.50637366
53161,yes,259518,2020-05-12,successful,1130.3428
53179,no,,,,
53301,yes,209561,2020-04-02,successful,480.3700395
53450,yes,68147,2020-03-30,successful,1391.570018
53450,yes,68145,2020-03-19,successful,912.7384092
53594,yes,,,,
54107,yes,,,,
54381,yes,,,,
54655,yes,,,,
54793,yes,,,,
54979,no,,,,
55233,yes,,,,
55340,yes,,,,
55644,yes,,,,
55689,no,,,,
55734,yes,,,,
55952,no,55952,2020-03-25,successful,417.3314256
55952,no,342088,2020-05-23,successful,254.8513145
56094,no,,,,
56132,yes,,,,
56291,yes,,,,
56482,yes,,,,
56547,yes,,,,
56942,yes,,,,
57032,no,,,,
57240,yes,,,,
57243,yes,,,,
57498,no,,,,
57587,yes,,,,
57636,yes,,,,
57684,yes,,,,
57755,yes,,,,
57849,yes,,,,
58112,yes,,,,
58243,yes,,,,
58408,yes,,,,
58423,yes,,,,
58839,yes,210057,2020-04-26,successful,317.8630144
58933,yes,,,,
58985,yes,,,,
58991,yes,,,,
59208,yes,,,,
59388,no,,,,
59574,yes,182010,2020-04-02,successful,1305.350471
59587,yes,,,,
59659,yes,,,,
59781,yes,,,,
59844,yes,,,,
59903,yes,,,,
59935,yes,,,,
60093,yes,,,,
60109,yes,,,,
60140,yes,,,,
60264,yes,,,,
60288,yes,,,,
60542,yes,,,,
60583,yes,,,,
60637,yes,,,,
60709,yes,,,,
60783,yes,,,,
60879,yes,,,,
60970,yes,,,,
60992,yes,,,,
61007,yes,,,,
61083,yes,,,,
61244,yes,,,,
61335,yes,,,,
61399,yes,,,,
61494,yes,,,,
61538,yes,,,,
61557,yes,,,,
61588,yes,,,,
61619,yes,,,,
61881,yes,,,,
61954,yes,,,,
62051,yes,,,,
62061,yes,,,,
62355,yes,,,,
62408,yes,,,,
62496,yes,,,,
62523,yes,,,,
62620,yes,,,,
62645,yes,,,,
62746,yes,,,,
62786,yes,,,,
62915,no,197135,2020-04-19,successful,387.3635548
62915,no,306909,2020-06-04,successful,409.9477341
62963,yes,,,,
63054,yes,,,,
63069,no,,,,
63266,yes,,,,
63394,yes,,,,
63415,yes,,,,
63429,no,,,,
63555,yes,,,,
63574,yes,,,,
63804,yes,,,,
63843,yes,,,,
63930,no,,,,
64147,yes,31335,2019-11-23,successful,596.9847411
64147,yes,54185,2020-03-04,successful,554.2170452
64147,yes,54186,2020-03-13,successful,253.9828984
64147,yes,54183,2020-03-06,successful,223.1400723
64147,yes,64874,2020-03-26,successful,1114.14754
64202,yes,,,,
64241,yes,,,,
64318,yes,,,,
64331,no,,,,
64405,no,,,,
64539,no,,,,
64675,yes,,,,
64748,yes,,,,
64962,yes,,,,
64989,yes,,,,
65066,no,,,,
65109,yes,,,,
65193,yes,,,,
65199,yes,,,,
65347,yes,,,,
65349,yes,,,,
65502,yes,,,,
65634,yes,,,,
65707,yes,,,,
65798,yes,,,,
65873,yes,,,,
65961,yes,,,,
65964,yes,,,,
66038,yes,,,,
66158,yes,,,,
66168,yes,,,,
66254,yes,,,,
66301,yes,,,,
66394,yes,,,,
66404,yes,,,,
66472,yes,,,,
66498,yes,,,,
66501,yes,,,,
66509,yes,,,,
66536,yes,,,,
66703,yes,,,,
66721,yes,,,,
